,Temp
HI_20_11a,1
HI_20_12a,1
HI_20_13a,1
HI_20_14a,1
HI_20_15a,1
HI_20_16a,1
HI_20_17a,1
HI_20_18a,1
HI_20_21a,1
HI_20_22a,1
HI_20_23a,1
HI_20_24a,1
HI_20_25a,1
HI_20_26a,1
HI_20_27a,1
HI_20_28a,1
HI_20_31a,1
HI_20_31a_1,1
HI_20_31a_2,1
HI_20_31a_3,1
HI_20_32a_1,1
HI_20_32a_2,1
HI_20_32a_3,1
HI_20_33a,1
HI_20_33a_1,1
HI_20_33a_2,1
HI_20_33a_3,1
HI_20_34a,1
HI_20_34a_1,1
HI_20_34a_2,1
HI_20_34a_3,1
HI_20_35a,1
HI_20_35a_1,1
HI_20_35a_2,1
HI_20_35a_3,1
HI_20_36a,1
HI_20_36a_1,1
HI_20_36a_2,1
HI_20_36a_3,1
HI_20_37a,1
HI_20_37a_1,1
HI_20_37a_2,1
HI_20_37a_3,1
HI_20_38a,1
HI_20_38a_3,1
HI_20_41a_1,1
HI_20_41a_2,1
HI_20_41a_3,1
HI_20_42a_1,1
HI_20_42a_2,1
HI_20_42a_3,1
HI_20_43a_1,1
HI_20_44a_2,1
HI_20_46a_1,1
HI_20_46a_3,1
HI_20_47a_1,1
HI_20_47a_2,1
HI_20_48a_3,1
HI_20_51a_1,1
HI_20_51a_2,1
HI_20_52a_2,1
HI_20_54a_2,1
HI_20_54a_3,1
HI_20_55a_1,1
HI_20_55a_2,1
HI_20_55a_3,1
HI_20_56a_1,1
HI_20_56a_2,1
HI_20_56a_3,1
HI_20_57a_1,1
HI_20_57a_2,1
HI_20_57a_3,1
HI_20_58a_1,1
HI_20_58a_2,1
HI_20_58a_3,1
HI_20_11e,2
HI_20_12e,2
HI_20_13e,2
HI_20_14e,2
HI_20_15e,2
HI_20_16e,2
HI_20_17e,2
HI_20_18e,2
HI_20_21e,2
HI_20_22e,2
HI_20_23e,2
HI_20_24e,2
HI_20_25e,2
HI_20_26e,2
HI_20_27e,2
HI_20_28e,2
HI_20_31e_1,2
HI_20_31e_2,2
HI_20_31e_3,2
HI_20_32e_3,2
HI_20_33e_1,2
HI_20_33e_2,2
HI_20_35e_1,2
HI_20_35e_2,2
HI_20_35e_3,2
HI_20_36e_2,2
HI_20_36e_3,2
HI_20_37e_1,2
HI_20_37e_2,2
HI_20_37e_3,2
HI_20_38e_1,2
HI_20_41e_1,2
HI_20_41e_3,2
HI_20_42e_1,2
HI_20_42e_2,2
HI_20_43e_1,2
HI_20_46e_3,2
HI_20_48e_1,2
HI_20_51e_1,2
HI_20_51e_2,2
HI_20_51e_3,2
HI_20_52e_1,2
HI_20_52e_2,2
HI_20_52e_3,2
HI_20_53e_1,2
HI_20_53e_2,2
HI_20_53e_3,2
HI_20_54e_1,2
HI_20_54e_2,2
HI_20_54e_3,2
HI_20_55e_1,2
HI_20_55e_2,2
HI_20_55e_3,2
HI_20_56e_1,2
HI_20_56e_2,2
HI_20_56e_3,2
HI_20_57e_1,2
HI_20_57e_2,2
HI_20_57e_3,2
HI_20_58e_1,2
HI_20_58e_2,2
HI_20_58e_3,2
